Age,Fare,C,Q,Family,Child,Female,Class_1,Class_2
54,23,0,0,1,0,1,0,1
18,7,0,0,0,0,0,0,0
41,7,0,1,0,0,0,0,0
5,12,0,0,0,1,0,0,0
39,7,0,1,0,0,0,0,0
43,211,0,0,1,0,1,1,0
13,7,1,0,0,1,0,0,0
17,57,0,0,1,0,1,1,0
29,30,0,0,0,0,0,1,0
39,23,0,0,1,0,0,0,0
25,7,0,0,0,0,0,0,0
25,7,0,0,0,0,0,0,0
18,7,0,0,0,0,1,0,0
8,29,0,1,1,1,0,0,0
1,20,0,0,1,1,0,0,0
46,79,1,0,0,0,0,1,0
27,7,0,1,0,0,0,0,0
16,26,0,0,0,0,0,0,1
35,69,0,0,1,0,1,0,0
43,30,1,0,0,0,0,1,0
25,7,0,0,0,0,0,0,0
39,13,0,0,0,0,0,0,1
49,25,0,0,0,0,1,1,0
31,8,0,0,0,0,1,0,0
30,7,1,0,0,0,0,0,0
30,24,0,0,1,0,1,0,0
34,13,0,0,0,0,0,0,1
31,26,0,0,1,0,1,0,1
11,120,0,0,1,1,0,1,0
0,8,1,0,1,1,0,0,0
27,6,0,0,0,0,0,0,0
31,7,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1,0
18,7,0,0,0,0,1,0,0
39,13,0,0,0,0,0,0,1
33,53,0,0,1,0,1,1,0
26,7,0,0,0,0,0,0,0
39,24,0,0,0,0,0,0,0
35,10,0,0,0,0,0,0,1
6,31,0,0,1,1,0,0,0
30,8,0,0,0,0,0,0,0
41,0,0,0,0,0,0,1,0
23,7,0,0,0,0,1,0,0
31,37,1,0,1,0,0,0,1
43,6,0,0,0,0,0,0,0
10,27,0,0,1,1,0,0,0
52,93,0,0,1,0,1,1,0
27,8,0,0,0,0,0,0,0
38,0,0,0,0,0,0,1,0
27,12,0,0,1,0,1,0,0
2,39,0,0,1,1,0,0,0
38,6,0,1,0,0,0,0,0
32,56,0,0,0,0,0,0,0
1,37,1,0,1,1,0,0,1
43,7,0,1,0,0,0,0,0
62,80,0,0,0,0,1,1,0
15,14,1,0,1,1,0,0,0
0,18,0,0,1,1,0,0,1
40,7,1,0,0,0,0,0,0
23,7,0,0,0,0,0,0,0
18,8,0,0,0,0,0,0,0
39,83,1,0,1,0,1,1,0
21,8,0,0,0,0,0,0,0
35,8,0,0,0,0,0,0,0
32,56,0,0,0,0,0,0,0
41,29,1,0,0,0,0,1,0
20,7,0,0,0,0,0,0,0
16,10,0,0,0,0,0,0,1
30,31,1,0,0,0,1,1,0
34,6,1,0,0,0,0,0,0
17,8,0,0,0,0,0,0,0
42,7,0,0,0,0,0,0,0
29,69,0,0,1,0,0,0,0
35,7,1,0,0,0,0,0,0
28,33,0,0,1,0,0,0,1
40,89,1,0,1,0,1,1,0
4,31,0,0,1,1,0,0,0
74,7,0,0,0,0,0,0,0
9,15,1,0,1,1,0,0,0
16,39,0,0,1,0,1,1,0
44,26,0,0,1,0,1,0,1
18,9,0,0,1,0,1,0,0
45,164,0,0,1,0,1,1,0
51,26,0,0,0,0,0,1,0
24,19,1,0,1,0,1,0,0
36,7,1,0,0,0,0,0,0
41,14,0,0,1,0,0,0,0
21,11,0,0,1,0,0,0,1
48,25,0,0,0,0,1,1,0
32,69,0,0,1,0,1,0,0
24,13,0,0,0,0,0,0,1
42,13,0,0,0,0,1,0,1
27,13,1,0,1,0,1,0,1
31,50,0,0,0,0,0,1,0
16,9,0,0,0,0,0,0,0
4,11,0,0,1,1,0,0,0
26,7,0,0,0,0,0,0,0
47,52,0,0,1,0,1,1,0
33,5,0,0,0,0,0,1,0
47,9,0,0,0,0,0,0,0
28,24,1,0,1,0,1,0,1
15,7,1,0,0,1,0,0,0
20,9,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,0
36,7,0,0,0,0,0,0,0
56,83,1,0,1,0,1,1,0
25,26,0,0,1,0,1,0,1
33,7,0,0,0,0,0,0,0
22,10,0,0,0,0,1,0,0
28,10,0,0,0,0,0,0,1
25,7,0,0,0,0,0,0,0
39,29,0,1,1,0,1,0,0
27,13,0,0,0,0,0,0,1
19,30,0,0,0,0,1,1,0
20,23,0,0,1,0,1,0,0
26,30,1,0,0,0,0,1,0
32,7,0,1,0,0,0,0,0
